2021-07-13: ['ASII.JK', 'TLKM.JK']
2021-08-02: ['BBCA.JK', 'TLKM.JK']
2021-08-31: ['BBCA.JK', 'TLKM.JK']
2021-09-30: ['BBCA.JK', 'TLKM.JK']
2021-11-01: ['ASII.JK', 'TLKM.JK']
2021-11-30: ['BBCA.JK', 'ASII.JK']
2022-01-03: ['ASII.JK', 'TLKM.JK']
2022-01-31: ['BBCA.JK', 'TPIA.JK']
2022-03-01: ['BBCA.JK', 'ASII.JK']
2022-03-31: ['BBCA.JK', 'TPIA.JK']
2022-05-09: ['BBCA.JK', 'ASII.JK']
2022-05-31: ['BBCA.JK', 'TLKM.JK']
2022-06-30: ['TLKM.JK', 'TPIA.JK']
2022-08-01: ['ASII.JK', 'TLKM.JK']
2022-08-31: ['BBCA.JK', 'ASII.JK']
2022-09-30: ['TLKM.JK', 'TPIA.JK']
2022-10-31: ['TLKM.JK', 'TPIA.JK']
2022-11-30: ['BBCA.JK', 'TLKM.JK']
2023-01-02: ['BBCA.JK', 'ASII.JK']
2023-01-31: ['BBCA.JK', 'ASII.JK']
2023-02-28: ['TLKM.JK', 'TPIA.JK']
2023-03-31: ['TLKM.JK', 'TPIA.JK']
2023-05-02: ['TLKM.JK', 'TPIA.JK']
2023-05-31: ['BBCA.JK', 'TPIA.JK']
2023-07-03: ['BBCA.JK', 'ASII.JK']
2023-07-31: ['TLKM.JK', 'TPIA.JK']
2023-08-31: ['BBCA.JK', 'TLKM.JK']
2023-10-02: ['BBCA.JK', 'ASII.JK']
2023-10-31: ['ASII.JK', 'TLKM.JK']
2023-11-30: ['BBCA.JK', 'ASII.JK']
2024-01-02: ['ASII.JK', 'TLKM.JK']
2024-01-31: ['BBCA.JK', 'TLKM.JK']
2024-02-29: ['ASII.JK', 'TLKM.JK']
2024-04-01: ['ASII.JK', 'TLKM.JK']
2024-04-30: ['ASII.JK', 'TLKM.JK']
2024-05-31: ['ASII.JK', 'TPIA.JK']
2024-07-01: ['BBCA.JK', 'ASII.JK']
2024-07-31: ['ASII.JK', 'TLKM.JK']
2024-09-02: ['TLKM.JK', 'TPIA.JK']
2024-09-30: ['ASII.JK', 'TLKM.JK']
2024-10-31: ['BBCA.JK', 'TPIA.JK']
2024-12-02: ['BBCA.JK', 'ASII.JK']
2025-01-02: ['BBCA.JK', 'TLKM.JK']
2025-01-31: ['ASII.JK', 'TPIA.JK']
2025-02-28: ['BBCA.JK', 'ASII.JK']
2025-04-08: ['BBCA.JK', 'TLKM.JK']
2025-04-30: ['BBCA.JK', 'ASII.JK']
2025-06-02: ['BBCA.JK', 'ASII.JK']
2025-06-30: ['BBCA.JK', 'TLKM.JK']
2025-07-31: ['BBCA.JK', 'ASII.JK']
2025-09-01: ['ASII.JK', 'TLKM.JK']
2025-09-30: ['BBCA.JK', 'TPIA.JK']
2025-10-31: ['BBCA.JK', 'TLKM.JK']
2025-12-01: ['ASII.JK', 'TLKM.JK']
2026-01-02: ['BBCA.JK', 'TPIA.JK']
