Date,Coefficient,Term
2021-01-04,-10.171109418120485,PauliZ
2021-01-04,-16.820838599205427,PauliZ
2021-01-04,-17.91111806607164,PauliZ
2021-01-04,-8.588141769326384,PauliZ
2021-01-04,0.023674756831528976,Prod
2021-01-04,0.07095453286337139,Prod
2021-01-04,0.022029559112423103,Prod
2021-01-04,0.045411887561236375,Prod
2021-01-04,0.0005816658494239846,Prod
2021-01-04,0.017895119396230452,Prod
2021-01-04,5.0,Identity
2021-01-04,2.5,Prod
2021-01-04,2.5,Prod
2021-01-04,2.5,Prod
2021-01-04,2.5,Prod
2021-01-04,2.5,Prod
2021-01-04,2.5,Prod
2021-02-02,-10.568991985979464,PauliZ
2021-02-02,-16.567441006637104,PauliZ
2021-02-02,-19.524052247622567,PauliZ
2021-02-02,-9.34480858192565,PauliZ
2021-02-02,0.04164626596733623,Prod
2021-02-02,0.047495734834084535,Prod
2021-02-02,0.011091799631923083,Prod
2021-02-02,0.06598333839614567,Prod
2021-02-02,0.018379384603773197,Prod
2021-02-02,0.05126855932558794,Prod
2021-02-02,5.0,Identity
2021-02-02,2.5,Prod
2021-02-02,2.5,Prod
2021-02-02,2.5,Prod
2021-02-02,2.5,Prod
2021-02-02,2.5,Prod
2021-02-02,2.5,Prod
2021-03-04,-6.7254041114901035,PauliZ
2021-03-04,-9.783260393452062,PauliZ
2021-03-04,-10.388164671980311,PauliZ
2021-03-04,-8.936687137462505,PauliZ
2021-03-04,0.024147319538539325,Prod
2021-03-04,0.01702336275613958,Prod
2021-03-04,0.022756403548654935,Prod
2021-03-04,0.03865960819747527,Prod
2021-03-04,0.005974208117253577,Prod
2021-03-04,0.008776349863867328,Prod
2021-03-04,5.0,Identity
2021-03-04,2.5,Prod
2021-03-04,2.5,Prod
2021-03-04,2.5,Prod
2021-03-04,2.5,Prod
2021-03-04,2.5,Prod
2021-03-04,2.5,Prod
2021-04-06,-9.712752075603591,PauliZ
2021-04-06,-12.299023993875048,PauliZ
2021-04-06,-12.09286674481608,PauliZ
2021-04-06,-12.078718294767276,PauliZ
2021-04-06,0.02959059344025694,Prod
2021-04-06,0.0005777632463441762,Prod
2021-04-06,0.03303246148446215,Prod
2021-04-06,0.020682061266972918,Prod
2021-04-06,0.021646531001983327,Prod
2021-04-06,0.02620002367269003,Prod
2021-04-06,5.0,Identity
2021-04-06,2.5,Prod
2021-04-06,2.5,Prod
2021-04-06,2.5,Prod
2021-04-06,2.5,Prod
2021-04-06,2.5,Prod
2021-04-06,2.5,Prod
2021-05-05,-7.469080371929114,PauliZ
2021-05-05,-9.588637656254177,PauliZ
2021-05-05,-7.078223505611671,PauliZ
2021-05-05,-10.209346774951946,PauliZ
2021-05-05,0.033155920413697526,Prod
2021-05-05,0.00802814245024086,Prod
2021-05-05,0.020144304197623253,Prod
2021-05-05,0.02866790277713238,Prod
2021-05-05,0.008793344873096798,Prod
2021-05-05,0.00802814245024086,Prod
2021-05-05,5.0,Identity
2021-05-05,2.5,Prod
2021-05-05,2.5,Prod
2021-05-05,2.5,Prod
2021-05-05,2.5,Prod
2021-05-05,2.5,Prod
2021-05-05,2.5,Prod
2021-06-10,-7.420450944937406,PauliZ
2021-06-10,-9.836603156390163,PauliZ
2021-06-10,-7.913427533947939,PauliZ
2021-06-10,-13.233566923272322,PauliZ
2021-06-10,0.035905298038916955,Prod
2021-06-10,0.04414216612256805,Prod
2021-06-10,0.005263630373335992,Prod
2021-06-10,0.027578910966329806,Prod
2021-06-10,0.026123126279441244,Prod
2021-06-10,0.03203519277155298,Prod
2021-06-10,5.0,Identity
2021-06-10,2.5,Prod
2021-06-10,2.5,Prod
2021-06-10,2.5,Prod
2021-06-10,2.5,Prod
2021-06-10,2.5,Prod
2021-06-10,2.5,Prod
2021-07-09,-6.675601888415119,PauliZ
2021-07-09,-8.94124321450248,PauliZ
2021-07-09,-7.882103528017436,PauliZ
2021-07-09,-13.420400237931227,PauliZ
2021-07-09,0.01712438952378803,Prod
2021-07-09,0.10773780618474849,Prod
2021-07-09,0.0003507958462567462,Prod
2021-07-09,0.03581623874970652,Prod
2021-07-09,0.005264911932860938,Prod
2021-07-09,0.014997212596985054,Prod
2021-07-09,5.0,Identity
2021-07-09,2.5,Prod
2021-07-09,2.5,Prod
2021-07-09,2.5,Prod
2021-07-09,2.5,Prod
2021-07-09,2.5,Prod
2021-07-09,2.5,Prod
2021-08-10,-6.863019982685579,PauliZ
2021-08-10,-9.23604440228669,PauliZ
2021-08-10,-9.015066464792758,PauliZ
2021-08-10,-13.562405331819361,PauliZ
2021-08-10,0.01258417478780105,Prod
2021-08-10,0.05139582596357517,Prod
2021-08-10,4.0589427789949895e-06,Prod
2021-08-10,0.04246265784157499,Prod
2021-08-10,0.004634882493334436,Prod
2021-08-10,0.018992463718707997,Prod
2021-08-10,5.0,Identity
2021-08-10,2.5,Prod
2021-08-10,2.5,Prod
2021-08-10,2.5,Prod
2021-08-10,2.5,Prod
2021-08-10,2.5,Prod
2021-08-10,2.5,Prod
2021-09-10,-5.782744225654876,PauliZ
2021-09-10,-8.270275244064534,PauliZ
2021-09-10,-7.986080258709204,PauliZ
2021-09-10,-11.033305887819479,PauliZ
2021-09-10,0.02298349810273148,Prod
2021-09-10,0.020188846066789834,Prod
2021-09-10,0.00482667988950003,Prod
2021-09-10,0.048930318700884934,Prod
2021-09-10,0.0038696800704784984,Prod
2021-09-10,0.020188846066789834,Prod
2021-09-10,5.0,Identity
2021-09-10,2.5,Prod
2021-09-10,2.5,Prod
2021-09-10,2.5,Prod
2021-09-10,2.5,Prod
2021-09-10,2.5,Prod
2021-09-10,2.5,Prod
2021-10-11,-10.198679606255274,PauliZ
2021-10-11,-15.426176573741861,PauliZ
2021-10-11,-11.408401669040392,PauliZ
2021-10-11,-16.398692705767566,PauliZ
2021-10-11,0.06723610314090056,Prod
2021-10-11,0.00415330377811407,Prod
2021-10-11,0.005759341962916276,Prod
2021-10-11,0.06772586456653906,Prod
2021-10-11,0.011298900754700636,Prod
2021-10-11,0.03363275365575458,Prod
2021-10-11,5.0,Identity
2021-10-11,2.5,Prod
2021-10-11,2.5,Prod
2021-10-11,2.5,Prod
2021-10-11,2.5,Prod
2021-10-11,2.5,Prod
2021-10-11,2.5,Prod
2021-11-10,-9.048551218100785,PauliZ
2021-11-10,-15.247509195030332,PauliZ
