Iteration,Cost
1,14.046641983218596
2,13.502894546985758
3,9.494026073777919
4,8.046041528063132
5,2.498991531928965
6,-0.9816802077636693
7,-1.66555939428034
8,-3.4250383512664664
9,-6.938604887897867
10,-7.689158572036034
11,-4.973948594156592
12,-21.144326708938646
13,-22.073437310493777
14,-19.666995370053566
15,-19.015853615905243
16,-21.040737000589786
17,-20.118732816300973
18,-20.472844322875098
19,-22.012351111831617
20,-21.27203705095576
21,-22.30827161816718
22,-24.449660186719754
23,-19.103626880365496
24,-19.322937248521093
25,-22.335046740494217
26,-23.34936306207918
27,-23.034100486114497
28,-20.97618949218331
29,-26.104840212961918
30,-25.376501450461316
31,-26.22680826045671
32,-26.0464047710957
33,-26.07044067123342
34,-25.43437135061332
35,-26.451126608633697
36,-27.69020095661372
37,-28.061633100757497
38,-27.33723637425818
39,-27.387884705074605
40,-27.923744903292683
41,-28.03534856217614
42,-28.39824241339367
43,-27.980839343034138
44,-29.100383835515203
45,-28.377005890909878
46,-28.05675045696948
47,-27.45111316486791
48,-28.756926019199806
49,-28.833785717916896
50,-29.280000193164557
51,-28.872817055064473
52,-28.248492231266415
53,-29.926954944034858
54,-29.16377298980342
55,-29.73054200751714
56,-30.247589589479766
57,-30.004605035399297
58,-29.546494003055997
59,-30.16247035704609
60,-31.06420245810922
61,-30.883674357261413
62,-31.125095731131182
63,-30.835051467691425
64,-30.499299888882213
65,-31.00262156328623
66,-31.2303730925342
67,-31.397555618916524
68,-31.322964654916113
69,-30.201203520756092
70,-31.00201017666491
71,-32.25939229402294
72,-31.927915521707686
73,-32.71256430003817
74,-32.48498010196662
75,-32.494334750736854
76,-32.43732798732715
77,-32.63816015649095
78,-32.521232443762976
79,-32.36012730873293
80,-32.72026177819992
81,-32.40664457699474
82,-32.37772135282131
83,-32.78571719051398
84,-32.399509074073016
85,-32.691114943452206
86,-32.41470228510422
87,-32.72027896555107
88,-32.70159717332616
89,-32.44116889371455
90,-32.644243257572626
91,-32.795154248744645
92,-32.86986229699859
93,-32.534447281229866
94,-32.693791541630304
95,-32.669565171281484
96,-32.71845792026891
97,-32.66706435316866
98,-32.81815539552409
99,-32.67685400981916
100,-32.71939480697968
