Iteration,Theta_0,Theta_1,Theta_2,Theta_3,Theta_4,Theta_5,Theta_6,Theta_7,Theta_8,Theta_9,Theta_10,Theta_11,Theta_12,Theta_13,Theta_14,Theta_15
1,4.9909183910510615,2.6295454459265333,5.266720716800691,4.509701672244044,0.46372461015535726,6.002006906798598,4.910390910618297,4.8109785750530225,0.9329708128378551,2.701849189184262,2.2017835794279117,5.95104527950345,4.173532980657714,5.041554561453189,2.9140626974281574,1.2997738795789173
2,4.752238261809253,2.3908653166847245,5.028040587558882,4.748381801485853,0.7024047393971662,6.2406870360404065,5.149071039860106,5.049658704294831,0.6942906835960462,2.940529318426071,1.9631034501861027,5.7123651502616415,3.934852851415905,4.8028744322113806,3.152742826669966,1.0610937503371083
3,4.763657756280113,2.402284811155585,5.016621093088022,4.759801295956713,0.7138242338680263,6.252106530511266,5.137651545389246,5.061078198765691,0.7057101780669063,2.9519488128969313,1.9516839557152426,5.723784644732501,3.9462723458867655,4.81429392668224,3.141323332199106,1.0496742558662482
4,5.039308931344111,2.126633636091586,4.740969918024024,5.035452471020712,0.9894754089320252,6.527757705575265,4.862000370325247,4.7854270237016925,0.9813613531309051,3.22759998796093,1.6760327806512436,5.9994358197965,4.221923520950765,4.538642751618242,3.4169745072631046,0.7740230808022492
5,5.246264758401713,1.9196778090339839,4.534014090966422,5.242408298078313,0.782519581874423,6.734713532632867,4.655044543267645,4.992382850759294,0.7744055260733029,3.020644160903328,1.4690769535936414,5.792479992738898,4.428879348008366,4.33168692456064,3.6239303343207068,0.5670672537446471
6,5.625635408651603,1.5403071587840937,4.913384741216312,5.6217789483282035,0.4031489316245329,6.355342882382977,4.275673893017755,4.613012200509404,0.3950348758234128,3.400014811153218,1.8484476038435316,5.413109342489008,4.8082499982582565,4.71105757481053,3.2445596840708166,0.9464379039945372
7,5.643857724179674,1.5585294743121643,4.931607056744383,5.640001263856274,0.38492661609646234,6.373565197911048,4.293896208545826,4.594789884981333,0.41325719135148337,3.3817924956251475,1.830225288315461,5.394887026960937,4.8264723137863275,4.692835259282459,3.226337368542746,0.9282155884664666
8,6.027932437550975,1.942604187683465,4.547532343373082,5.255926550484974,0.7690013294677629,5.989490484539747,4.677970921917127,4.210715171610032,0.797331904722784,2.9977177822538468,1.4461505749441605,5.778961740332238,4.442397600415027,5.07690997265376,3.610412081914047,1.3122903018377672
9,5.908379640443165,1.8230513905756551,4.667085140480892,5.375479347592783,0.8885541265755728,5.869937687431937,4.7975237190249365,4.330267968717842,0.9168847018305939,3.1172705793616564,1.5657033720519704,5.898514537440048,4.322844803307217,4.95735717554595,3.490859284806237,1.431843098945577
10,5.906787371288415,1.8246436597304054,4.665492871326141,5.373887078438033,0.8869618574208223,5.871529956586688,4.799115988179687,4.3286756995630915,0.9184769709853443,3.118862848516407,1.5672956412067207,5.900106806594798,4.324437072461968,4.958949444700701,3.4892670156514867,1.4302508297908267
11,5.311573027915526,2.419858003103294,4.070278527953253,5.9691014218109215,1.482176200793711,6.466744299959577,5.394330331552576,3.733461356190203,1.513691314358233,2.5236485051435187,2.162509984579609,5.304892463221909,4.919651415834856,5.5541637880735895,2.8940526722785984,0.8350364864179383
12,5.198023587689783,2.5334074433290366,3.9567290877275103,6.082650862036664,1.5957256410194536,6.353194859733834,5.507879771778319,3.6199119159644604,1.4001418741324902,2.4100990649177763,2.0489605443538665,5.418441903447652,4.8061019756091135,5.440614347847847,3.007602112504341,0.7214870461921957
13,5.510648826384799,2.2207822046340207,4.269354326422526,6.39527610073168,1.9083508797144693,6.040569621038818,5.195254533083303,3.9325371546594763,1.0875166354374746,2.722724303612792,1.7363353056588509,5.731067142142668,5.118727214304129,5.127989109152831,2.694976873809325,1.0341122848872115
14,5.668345273258449,2.0630857577603696,4.427050773296177,6.237579653858029,1.7506544328408185,6.198266067912469,5.0375580862096525,4.090233601533127,0.9298201885638238,2.880420750486443,1.8940317525325017,5.888763589016318,5.2764236611777795,5.285685556026482,2.537280426935674,1.1918087317608623
15,5.417832615467447,2.3135984155513714,4.6775634310871785,5.9870669960670275,1.500141775049817,6.4487787257034705,5.288070744000654,3.839720943742125,0.6793075307728222,2.6299080926954415,2.1445444103235034,6.13927624680732,5.025911003386778,5.03517289823548,2.7877930847266756,1.4423213895518638
16,5.371646236999759,2.35978479401906,4.63137705261949,5.940880617599339,1.4539553965821281,6.494965104171159,5.241884365532965,3.7935345652744363,0.6331211523051335,2.5837217142277527,2.190730788791192,6.093089868339631,4.979724624919089,5.081359276703169,2.741606706258987,1.4885077680195526
17,5.262765838343588,2.4686651926752305,4.522496653963319,6.049761016255509,1.3450749979259577,6.60384550282733,5.133003966876795,3.684654166618266,0.5242407536489632,2.692602112883923,2.2996111874473626,6.201970266995802,5.088605023575259,4.972478878046998,2.850487104915157,1.3796273693633823
18,5.202281844753899,2.5291491862649194,4.582980647553009,5.98927702266582,1.4055589915156466,6.664329496417019,5.072519973287106,3.624170173028577,0.5847247472386521,2.753086106473612,2.3600951810370514,6.141486273406112,5.02812102998557,4.911994884457309,2.7900031113254684,1.3191433757736934
19,5.0057743311253695,2.33264167263639,4.779488161181538,6.185784536294349,1.602066505144176,6.4678219827884895,4.876012459658576,3.4276626594000477,0.3882172336101226,2.9495936201021413,2.556602694665581,5.944978759777583,4.831613516357041,5.108502398085839,2.593495597696939,1.515650889402223
20,4.898783222585349,2.4396327811764107,4.886479269721558,6.078793427754329,1.4950753966041554,6.57481309132851,4.769021351118556,3.320671550860027,0.281226125070102,3.056584728642162,2.44961158612556,5.837987651237563,4.938604624897061,5.215493506625859,2.486504489156918,1.6226419979422435
21,4.863262213384826,2.404111771975887,4.922000278922082,6.114314436954852,1.4595543874036319,6.610334100529033,4.733500341918033,3.3561925600605504,0.31674713427062556,3.0921057378426857,2.4140905769250365,5.873508660438086,4.903083615696538,5.251014515826382,2.4509834799563945,1.58712098874172
22,4.458864069039373,2.8085099163213405,4.517602134576628,6.5187125813003055,1.0551562430581785,6.20593595618358,5.137898486263486,2.951794415715097,0.7211452786160789,3.496503882188139,2.009692432579583,5.469110516092632,4.498685471351084,5.6554126601718355,2.855381624301848,1.1827228443962665
23,4.781085185635495,3.1307310329174625,4.83982325117275,6.1964914647041835,0.7329351264620566,6.528157072779702,4.815677369667364,3.274015532311219,1.0433663952122008,3.174282765592017,1.6874713159834611,5.14688939949651,4.820906587947206,5.9776337767679575,3.17760274089797,1.5049439609923883
24,4.615227775051353,2.9648736223333207,5.005680661756892,6.030634054120042,0.8987925370461984,6.36229966219556,4.981534780251506,3.4398729428953607,0.8775089846280588,3.340140176176159,1.853328726567603,5.312746810080652,4.986763998531348,6.143491187352099,3.3434601514821116,1.3390865504082463
25,4.816798141391558,2.7633032559931148,4.804110295416686,6.232204420460247,1.1003629033864042,6.563870028535765,5.1831051465917115,3.6414433092355667,0.6759386182878531,3.138569809835953,2.054899092907809,5.514317176420858,4.785193632191143,6.345061553692305,3.1418897851419056,1.540656916748452
