Date,VQE,Benchmark,DUK,MSFT,CVX,TSLA
2021-01-04,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
2021-01-05,100388160.26795861,100894027.2933495,102703311.30833527,100044583.64530407,100096477.32914554,100731736.89061314
2021-01-06,102464587.9568201,102109730.33760561,106008725.71453767,101337634.56477264,97501019.72224458,103591541.34886758
2021-01-07,106011072.04055671,104700565.50114606,106504501.88200803,100200610.75316207,100275616.04146276,111821533.32795136
2021-01-08,110483816.09075694,107343487.3278291,107519753.66075984,100378955.76818258,100886563.46904272,120588676.4133313
2021-01-11,105344366.50615603,104682609.66462532,108133599.62494814,99531793.47077574,99908106.02124111,111156939.5415363
2021-01-12,107764413.14638004,106112158.4487234,110187667.65078785,99130509.36162646,98732139.85134569,116398316.9311336
2021-01-13,109570773.49815892,107150705.89210999,110081441.95199731,102062189.22914219,99379834.62012482,117079357.76717564
2021-01-14,108981777.55423489,107136005.54437447,112725723.98595175,102173653.55930449,97854743.0830763,115789901.5491653
2021-01-15,107941752.29223703,105570090.26651002,108712070.76674168,102675237.8281327,97684785.71482438,113208266.75634135
2021-01-19,108237530.59867701,106867426.7264349,111568860.43805839,100746820.40251112,99425785.27032724,115728240.79484288
2021-01-20,108864718.74833466,108345033.32067333,112595900.07495637,101192719.45837705,103054795.71106763,116536718.03829227
2021-01-21,108156202.48631516,107068554.43526143,108617621.67814107,100523870.87457816,103344191.09027435,115788534.09805214
2021-01-22,108330563.54379958,107185650.19552265,108287089.23588583,100646499.3752238,103794384.45860565,116014627.71237536
2021-01-25,112131299.67881837,109252195.47088893,107307268.51931004,103567035.93986456,105438914.00660895,120695563.41777219
2021-01-26,112293765.44680917,109200499.0112469,105489306.34303747,103578168.80893534,106725158.80833182,121009362.08468299
2021-01-27,110322393.04114115,107937914.27924944,104119890.16595684,102229390.94128773,106986980.86875868,118415395.14099456
2021-01-28,108225759.5570984,107824108.99404338,105087923.02438647,101972990.63712147,109756993.83759022,114478528.47707534
2021-01-29,106759522.35523921,105163160.62074208,100578403.65405606,104782042.00399156,106555194.11843391,108737002.70648685
2021-02-01,109462229.94526331,107754757.0933631,102006826.60960503,103845733.28358495,110087741.87332073,115078726.60694167
2021-02-02,111688386.55322757,109043586.31414291,102774150.93677478,103778821.29731417,110023421.2133417,119597951.80914097
