Batch_Iteration,Energy
0,-0.09531848127984222
1,-0.35627205295096687
2,-0.9127235054053706
3,-1.2937203261315937
4,-1.8006421522415965
5,-2.1866725314993753
6,-2.3557449421356114
7,-2.5138010377362154
8,-2.6945050463902547
9,-2.882294140458099
10,-3.038184595796476
11,-3.210447579867089
12,-3.3873174646458306
13,-3.5462756367371484
14,-3.6886449386991185
15,-3.801462316262162
16,-3.9920508989402714
17,-4.098314919369994
18,-4.208295839514126
19,-4.3578980791407105
20,-4.476243281447043
21,-4.560338627325334
22,-4.667683613922392
23,-4.702627109850339
24,-4.765923016705441
25,-4.803395705038076
26,-4.837558876910934
27,-4.8679170258856175
28,-4.901950131405047
29,-4.917733609348174
30,-4.933846883347014
31,-4.948156092738454
32,-4.953382447361889
33,-4.958236511869153
34,-4.964676465956019
35,-4.971801990749265
36,-4.977012319848086
37,-4.979481479103212
38,-4.982384698284385
39,-4.98473071496874
40,-4.987766488178239
41,-4.989759339667409
42,-4.99180132552649
43,-4.9931090593493135
44,-4.9940568168819155
45,-4.994704362180155
46,-4.99520976469169
47,-4.996125769423415
48,-4.996756835766746
49,-4.99734404187433
50,-4.997649151862426
51,-4.997983530629042
52,-4.998221469435134
53,-4.998368876028701
54,-4.998698316028621
55,-4.998913470229275
56,-4.999145115259399
57,-4.999317856395769
58,-4.99944600886996
59,-4.999555727084417
