Date,Depth,Energy,Iterations
2021-01-04,1,-0.2146536132545928,800
2021-01-04,2,-0.20427064770063255,800
2021-01-04,3,-0.19244563765325556,800
2021-01-04,4,-0.2543190090196022,800
2021-01-04,5,-0.20932033964853503,800
2021-01-04,6,-0.23766188680051833,800
2021-01-04,7,-0.2330912072951017,800
2021-01-04,8,-0.22359675850405022,800
2021-02-02,1,-0.1513248834991674,800
2021-02-02,2,-0.1500860642679198,800
2021-02-02,3,-0.15788995654847354,800
2021-02-02,4,-0.16361966887175824,800
2021-02-02,5,-0.16090480931552018,800
2021-02-02,6,-0.17346645571385716,800
2021-02-02,7,-0.15733236612678597,800
2021-02-02,8,-0.1601427817107246,800
