Depth,Theta_Index,Theta_Value
1,0,3.141150184824428
1,1,-0.004692246937898995
1,2,0.04568409440204231
1,3,-0.005589151791255314
1,4,-0.0011564645917084945
1,5,0.003738266444666289
1,6,0.0010436903454701467
1,7,-0.006314588039482487
2,0,3.3479992540479584
2,1,0.3618205557019218
2,2,1.0502503126416916
2,3,0.04476609559197513
2,4,1.0267278067036487
2,5,-0.09811082120783106
2,6,1.2905031982677266
2,7,-0.008019235306587276
2,8,-1.626901544030115
2,9,-0.2560492415494677
2,10,-0.5114726831779169
2,11,-0.1506498545964384
3,0,3.607083240084435
3,1,0.2053383438969318
3,2,0.6729944274118349
3,3,0.07240072970699507
3,4,0.3865748034217052
3,5,-0.0877919650017849
3,6,0.8963658889640385
3,7,0.02508807893125521
3,8,0.24105174079431088
3,9,-0.006830771232142707
3,10,0.33790665662954084
3,11,-0.09054246152308645
3,12,-1.4762062786530585
3,13,-0.15704432502836013
3,14,0.0048765471922772845
3,15,-0.13654697413562075
4,0,4.019542521715576
4,1,0.11143726286825188
4,2,1.6077985481813493
4,3,0.248684362738138
4,4,0.5073049234138196
4,5,0.06757105075775884
4,6,0.8221531133726889
4,7,0.1987126364972568
4,8,-0.3939993339447292
4,9,-0.04345511312006357
4,10,-0.009814406869062733
4,11,0.020614016976987594
4,12,0.47015292047746426
4,13,-0.1359257400630606
4,14,0.32412037139578753
4,15,-0.19724292275427924
4,16,-1.5787959327036172
4,17,-0.10915855165497852
4,18,0.15722092195290446
4,19,0.047340969783314986
5,0,3.9149148134512046
5,1,0.05079456110538937
5,2,1.4609001945760622
5,3,0.31185411600887447
5,4,0.9105502103268136
5,5,0.09148724792924982
5,6,1.055002432781916
5,7,0.0270613413098835
5,8,-0.5487997715160549
5,9,0.26484286194031725
5,10,0.13572969472838953
5,11,0.14789187949224658
5,12,0.20810221087318698
5,13,-0.14822672137896492
5,14,0.08722034787245432
5,15,-0.39516148432426823
5,16,0.5012284011104269
5,17,-0.007153636383961934
5,18,0.4222883749388283
5,19,0.03294416644521583
5,20,-2.135193062231814
5,21,-0.1893465494705559
5,22,0.30601778981260197
5,23,0.0010024724737885352
6,0,4.009793506946664
6,1,-0.023621434842482147
6,2,1.211972897155922
6,3,0.28258300378095647
6,4,0.8593763704581762
6,5,0.033997869702348776
6,6,0.7983627458199353
6,7,0.08659249643921765
6,8,-0.19103663621017805
6,9,0.10629119975722293
6,10,0.33842717147447776
6,11,-0.05449638313486682
6,12,0.04688957771030393
6,13,-0.18472291781364455
6,14,-0.009072832852681777
6,15,-0.44088076881754845
6,16,0.40002207410907664
6,17,0.1175217197903484
6,18,0.28099807646413955
6,19,0.018487592689205367
6,20,0.059363158625783397
6,21,0.18525022514904446
6,22,0.20009950314747746
6,23,0.010080637461565569
6,24,-2.369958334432363
6,25,-0.14856904548668512
6,26,0.5225257677429498
6,27,-0.03722105006441645
