Date,C_Obj,C_Pen,Penalty_A_Target
2021-01-04,-0.2680071342680558,0.5,5.0
2021-02-02,-0.1095734384665517,0.5,5.0
2021-03-04,-0.07257663059742482,0.5,5.0
2021-04-06,-0.08153988557943558,0.5,5.0
2021-05-05,-0.11503305170823169,0.5,5.0
2021-06-10,0.00949318324155457,0.5,5.0
2021-07-09,0.10493320509365378,0.5,5.0
2021-08-10,-0.041351007947835146,0.5,5.0
2021-09-10,-0.09334887308328078,0.5,5.0
2021-10-11,-0.34896306345269795,0.5,5.0
2021-11-10,-0.2944102311007578,0.5,5.0
2021-12-09,-0.32128325925273177,0.5,5.0
2022-01-10,-0.5249425058247317,0.5,5.0
2022-02-09,-0.4182757475757483,0.5,5.0
2022-03-14,-0.5766201504466517,0.5,5.0
2022-04-12,-0.35332987687570244,0.5,5.0
2022-05-23,-0.4215198717601296,0.5,5.0
2022-06-23,-0.33481134119267536,0.5,5.0
2022-07-22,-0.15894754502374187,0.5,5.0
2022-08-23,-0.241665211907818,0.5,5.0
2022-09-21,-0.250739321231512,0.5,5.0
2022-10-20,-0.17501674622437455,0.5,5.0
2022-11-18,-0.16947571224182587,0.5,5.0
2022-12-19,-0.2273841986387531,0.5,5.0
2023-01-17,-0.11527627279102684,0.5,5.0
2023-02-16,-0.043876025107265376,0.5,5.0
2023-03-17,0.15746539322708542,0.5,5.0
2023-04-27,0.02819539913503996,0.5,5.0
2023-05-30,0.14352732063800777,0.5,5.0
2023-07-05,0.13014712640746112,0.5,5.0
2023-08-04,0.014165945093073253,0.5,5.0
2023-09-05,-0.07071661202112742,0.5,5.0
2023-10-05,-0.0996233407433902,0.5,5.0
2023-11-03,0.07962154690780508,0.5,5.0
2023-12-04,-0.09202001098570946,0.5,5.0
