Depth,Theta_Index,Theta_Value
1,0,0.9162912020149525
1,1,1.0629957538159345
1,2,1.5565174179198291
1,3,-0.029678578444637994
1,4,-1.5302888920330842
1,5,0.10234706714142251
1,6,1.6220236307606217
1,7,0.316750295578123
2,0,1.2467956262177484
2,1,-0.024153695468089417
2,2,0.11426541836975364
2,3,-0.09703326896237147
2,4,-1.14074112597135
2,5,0.009504784117091606
2,6,0.5588690287444622
2,7,0.0235091904887531
2,8,-1.3000835135359137
2,9,0.21210420621980683
2,10,1.7579692579750041
2,11,0.2694880683089859
3,0,0.8173002653937285
3,1,0.14582988525100737
3,2,0.966780120337599
3,3,-0.21397473548185714
3,4,-1.0817856911385133
3,5,0.10382528336767145
3,6,1.4728339440900682
3,7,-0.05175562484774772
3,8,0.9868548098770265
3,9,-0.02471514078570694
3,10,-0.9260546744089739
3,11,-0.25958346658063014
3,12,-0.7783216860287008
3,13,0.17726632998022532
3,14,1.962129612358684
3,15,0.20128903483680863
4,0,0.3986956351840496
4,1,0.48602757822272735
4,2,1.2686696900126129
4,3,-0.24464181367082774
4,4,-0.5764617097079665
4,5,0.17704508311571457
4,6,0.75455789854097
4,7,0.20215524066063875
4,8,1.1050399814096514
4,9,0.15238248304523774
4,10,-1.140386668346254
4,11,-0.16955437279142846
4,12,0.15892078285163483
4,13,0.37659700394659656
4,14,-0.5353160841389775
4,15,-0.301937570857804
4,16,-0.6957565098157914
4,17,0.01416478459035358
4,18,2.0088372691448706
4,19,-0.23992320583863144
6,0,0.2467541661438742
6,1,0.7323508156644745
6,2,1.5662618961270853
6,3,-0.8699493233140123
6,4,-0.2740893778079204
6,5,-0.07027562431910069
6,6,0.36626987853442905
6,7,0.4684210421916797
6,8,1.1764229868486218
6,9,-0.48027703329934346
6,10,-1.7182935745291934
6,11,-0.01365251556341101
6,12,0.5857750251854807
6,13,0.3109504481453693
6,14,-0.5609588125808682
6,15,-0.14026186288985246
6,16,0.5842653126507729
6,17,-0.24697545369850965
6,18,-1.0164601868541592
6,19,-0.5206845429473348
6,20,0.014896832837738174
6,21,-0.2455763838739194
6,22,-0.48874161412561956
6,23,0.2069114608697645
6,24,0.2295312914709219
6,25,0.10283730002297087
6,26,1.2692843970045387
6,27,-0.002481755339044888
5,0,0.48337582866754514
5,1,0.8413838536762314
5,2,1.3449129330572638
5,3,-0.3204681964572009
5,4,-0.1757499361101275
5,5,-0.12747518268826535
5,6,1.0409307758143367
5,7,0.48857200464066536
5,8,1.564084394584992
5,9,0.38838494673690777
5,10,-1.226899705902054
5,11,0.070128916525174
5,12,0.3239266996133537
5,13,0.45354687437694524
5,14,-0.5952768572327317
5,15,-0.31054011944361465
5,16,0.21754392306370948
5,17,-0.09624537817781156
5,18,-0.5633569059795995
5,19,0.0320557328750936
5,20,-0.3013860504373321
5,21,0.08544330015752048
5,22,1.3350971785247903
5,23,-0.2778589758158781
