Date,C_Obj,C_Pen,Penalty_A_Target
2021-01-04,-0.2398526091031497,1.0,5.0
2021-02-02,-0.1338412622400625,1.0,5.0
2021-03-04,-0.10414284733289209,1.0,5.0
2021-04-06,-0.15575103998327808,1.0,5.0
2021-05-05,-0.1386105498352482,1.0,5.0
2021-06-10,0.013352635061234349,1.0,5.0
2021-07-09,0.14713479766560497,1.0,5.0
2021-08-10,0.01995641452767987,1.0,5.0
2021-09-10,-0.015150937011643719,1.0,5.0
2021-10-11,-0.17079053114559956,1.0,5.0
2021-11-10,-0.19707765363169302,1.0,5.0
2021-12-09,-0.15154339803386474,1.0,5.0
2022-01-10,-0.2898402459602987,1.0,5.0
2022-02-09,-0.2462650415523511,1.0,5.0
2022-03-14,-0.31625770800256325,1.0,5.0
2022-04-12,-0.1877103053874806,1.0,5.0
2022-05-23,-0.15592334862073093,1.0,5.0
2022-06-23,-0.15919656836928192,1.0,5.0
2022-07-22,-0.0970633916380104,1.0,5.0
2022-08-23,-0.1444850032132273,1.0,5.0
2022-09-21,-0.16106121658448974,1.0,5.0
2022-10-20,-0.1357684106039618,1.0,5.0
2022-11-18,-0.13963953896417225,1.0,5.0
2022-12-19,-0.08267772119253794,1.0,5.0
2023-01-17,-0.07611638363876508,1.0,5.0
2023-02-16,-0.014535616038218704,1.0,5.0
2023-03-17,0.13660321642366727,1.0,5.0
2023-04-27,0.06546538810831398,1.0,5.0
2023-05-30,0.1067964706971608,1.0,5.0
2023-07-05,0.05349155256548279,1.0,5.0
2023-08-04,-0.006534277574562469,1.0,5.0
2023-09-05,-0.03493251384803327,1.0,5.0
2023-10-05,-0.06847981008206314,1.0,5.0
2023-11-03,0.04657877431754552,1.0,5.0
2023-12-04,-0.07094284474132964,1.0,5.0
