Date,Selected,Equity
2021-01-04,"['BBCA.JK', 'KLBF.JK', 'ASII.JK']",93662469.49359608
2021-02-02,"['BMRI.JK', 'KLBF.JK', 'ASII.JK']",95511287.18742897
2021-03-04,"['TLKM.JK', 'BMRI.JK', 'ASII.JK']",91946615.65461345
2021-04-06,"['BBCA.JK', 'SMGR.JK', 'ASII.JK']",91056320.9445661
2021-05-05,"['BBCA.JK', 'TLKM.JK', 'ASII.JK']",93681471.97713935
2021-06-10,"['BBCA.JK', 'TLKM.JK', 'ASII.JK']",85147239.07663612
2021-07-09,"['TLKM.JK', 'SMGR.JK', 'BMRI.JK']",85956356.87911046
2021-08-10,"['BMRI.JK', 'KLBF.JK', 'ASII.JK']",94412737.34851241
2021-09-10,"['BBCA.JK', 'KLBF.JK', 'ASII.JK']",98467807.87128428
2021-10-11,"['BBCA.JK', 'TLKM.JK', 'ASII.JK']",98575982.0091879
2021-11-10,"['SMGR.JK', 'BMRI.JK', 'ASII.JK']",103105482.52662393
2021-12-09,"['BBCA.JK', 'BMRI.JK', 'ASII.JK']",104287268.06941329
2022-01-10,"['BBCA.JK', 'KLBF.JK', 'ASII.JK']",105006496.01714465
2022-02-09,"['SMGR.JK', 'BMRI.JK', 'ASII.JK']",107986286.1933925
2022-03-14,"['BBCA.JK', 'KLBF.JK', 'ASII.JK']",110094614.66928835
2022-04-12,"['SMGR.JK', 'BMRI.JK', 'ASII.JK']",109407597.06258877
2022-05-23,"['BBCA.JK', 'BMRI.JK', 'ASII.JK']",109121653.4567681
2022-06-23,"['BBCA.JK', 'TLKM.JK', 'SMGR.JK']",106637200.95285772
2022-07-22,"['BBCA.JK', 'SMGR.JK', 'KLBF.JK']",113838653.87169096
2022-08-23,"['BBCA.JK', 'TLKM.JK', 'ASII.JK']",117752209.41587116
2022-09-21,"['SMGR.JK', 'KLBF.JK', 'ASII.JK']",118632598.16243954
2022-10-20,"['TLKM.JK', 'BMRI.JK', 'KLBF.JK']",122170495.80775577
2022-11-18,"['BMRI.JK', 'KLBF.JK', 'ASII.JK']",117943679.35587102
2022-12-19,"['TLKM.JK', 'SMGR.JK', 'BMRI.JK']",111877323.58529857
2023-01-17,"['TLKM.JK', 'BMRI.JK', 'KLBF.JK']",123717856.33600697
2023-02-16,"['TLKM.JK', 'BMRI.JK', 'ASII.JK']",120325398.31574123
2023-03-17,"['TLKM.JK', 'BMRI.JK', 'KLBF.JK']",124112933.06334995
2023-04-27,"['TLKM.JK', 'SMGR.JK', 'KLBF.JK']",125117317.70255186
2023-05-30,"['BBCA.JK', 'TLKM.JK', 'ASII.JK']",126610586.56008443
2023-07-05,"['BBCA.JK', 'KLBF.JK', 'ASII.JK']",131451171.65425414
2023-08-04,"['BBCA.JK', 'TLKM.JK', 'ASII.JK']",129501473.1068866
2023-09-05,"['BBCA.JK', 'SMGR.JK', 'BMRI.JK']",126237024.66522263
2023-10-05,"['SMGR.JK', 'KLBF.JK', 'ASII.JK']",124912214.14176148
2023-11-03,"['BBCA.JK', 'SMGR.JK', 'BMRI.JK']",124904263.48187819
2023-12-04,"['SMGR.JK', 'BMRI.JK', 'KLBF.JK']",124225950.21493399
