Batch,Energy
1,-1.448924573041389
2,-2.6413617744429034
3,-3.599292548741066
4,-4.401075621536175
5,-4.713840541768782
6,-4.7908933105027
7,-4.842501637392097
8,-4.873564063119036
9,-4.896096800344065
10,-4.9099354641345405
11,-4.927885898894745
12,-4.941836648579841
13,-4.955555086292399
14,-4.96174402975628
15,-4.966005096122661
16,-4.968435208776784
17,-4.97145981057245
18,-4.974754392095695
19,-4.977377731650859
20,-4.979509457092255
21,-4.981039100691973
22,-4.982430658291372
23,-4.984098696894186
24,-4.985791943808576
25,-4.9865880904328455
26,-4.9876915926163194
27,-4.988274676584589
28,-4.989283432150673
29,-4.9901546445683875
30,-4.991045703661114
31,-4.991892198959573
32,-4.992363034652398
33,-4.992813905582968
34,-4.9933249017527945
35,-4.993808898197785
36,-4.994253944999643
37,-4.994696069840186
38,-4.995006811200866
39,-4.995343144893377
40,-4.995557639994105
41,-4.995857637069221
42,-4.996111404368377
43,-4.996309567807911
44,-4.99648755502611
45,-4.996611391965343
46,-4.996800276715447
